time,rssi,snr
1584698537.49931,-121,-18.8
1588823326.24434,-116,-8.5
1587979986.25979,-116,-17.2
1588721588.49888,-123,-15.2
1588854703.59742,-103,-10
1584714071.26512,-116,-17.5
1588802870.57434,-116,-8.8
1586384309.89792,-116,-18.5
1588738989.35879,-117,-11
1586910361.55185,-116,-18
1588773825.35846,-109,-13.8
1588813860.55992,-106,-11.2
1586493562.41574,-117,-16.5
1588820270.53247,-113,-15
1588022655.23847,-117,-15.5
1588726480.35813,-107,-15.2
1588693146.71377,-111,-11
1588014909.76248,-120,-14.8
1588689168.39884,-119,-11
1586802736.04237,-114,-17.8
1588668987.31364,-115,-9.8
1584633123.48235,-123,-13.8
1588010877.7882,-119,-15
1588788831.3185,-115,-8.2
1587352231.85225,-122,-16.8
1587215829.88074,-122,-16
1587374603.58861,-115,-16.2
1584767738.23844,-111,-14.8
1583420244.63817,-117,-15.5
1588654245.39718,-116,-14
1588764020.43935,-110,-10.5
1586392473.75036,-119,-15.8
1584898296.76822,-117,-14.8
1584421776.84401,-112,-16.2
1584696369.57289,-115,-12.2
1587001645.31084,-117,-16.8
1588806837.84828,-108,-14
1588838873.92382,-117,-12.2
1588735021.38019,-119,-17
1588744469.84266,-111,-16.2
1584871173.66348,-117,-15.8
1588777205.90674,-101,-14.2
1588625403.73305,-109,-12.8
1584512709.09232,-117,-16.2
1587370251.93308,-122,-16.2
1584769611.44683,-120,-16.8
1588655768.82603,-93,-15
1588740514.72508,-116,-9.5
1588821496.62941,-119,-14.8
1584861226.80359,-117,-14.2
1588712728.92186,-106,-15.5
1586638816.14536,-117,-15
1588750272.20615,-102,-15
1588725564.79867,-102,-10.2
1588765847.84818,-112,-12.2
1588574223.60354,-116,-14.2
1586982522.90506,-108,-14.5
1588629081.9168,-116,-12
1586214411.67335,-116,-16.8
1583416546.30958,-119,-14.5
1586514780.13293,-120,-18.2
1587206509.43939,-122,-18.8
1588625099.20821,-117,-12.5
1588651484.63781,-119,-17.2
1588798598.45988,-107,-15.8
1588580107.79931,-119,-12.8
1588746617.78471,-113,-13.5
1588591702.98537,-113,-10
1588823934.38929,-108,-10
1584448088.31105,-119,-16.2
1588689483.65097,-109,-16.5
1584845738.04229,-116,-16.8
1588725874.67994,-114,-9.2
1584403045.81758,-121,-17.2
1588709668.54802,-117,-17
1588659913.22386,-113,-15.5
1588746307.54578,-115,-14.2
1587309870.17292,-120,-16
1584500154.68042,-116,-16.8
1584616360.7651,-119,-14.8
1584693621.65811,-116,-16.8
1583422404.86011,-116,-16.2
1588611921.46223,-116,-10.2
1584185889.61379,-117,-18
1583402878.03266,-117,-13.2
1588683049.65201,-111,-11.8
1588727088.42967,-105,-16.8
1586658801.64897,-119,-18.2
1588677852.95886,-116,-10.8
